Energy_Source,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,US
coal Consumption,18615,297654,211724,154007,30049,233256,0,0,1846,171953,180888,7680,227866,1881,496983,719238,226712,523276,96914,0,61932,1269,423504,184517,566940,66214,131345,163029,369340,223571,3864,6199,138077,35835,6143,539587,106855,1066,435540,0,150973,24769,204725,932569,237870,67739,0,42238,232501,536642,390303,9885694
Natural-Gas,437916,787300,398099,468038,2131372,524890,307212,30174,89674,1659544,809618,159,434374,141924,1134781,913401,318779,402534,2087166,432442,310133,62559,1087716,535010,322547,617855,93971,747187,198986,199260,60176,755048,301279,302315,1403401,1422175,772405,297591,1936985,93829,361249,98288,440017,5007366,287076,665869,14046,381886,622144,281657,172450,33361871
petroleum (btu),263335,578431,327813,594859,3017944,538413,302881,18000,112026,1815529,940579,241994,423592,190635,1138141,699235,346852,580349,1663129,529154,411842,166724,820709,568916,606374,383366,177009,906477,170390,237556,149025,769751,255571,303234,1321362,1031807,521629,315400,1108074,78260,495616,118593,707095,6582173,322387,798162,71534,725931,535483,201769,145723,35330835
Nuclear Energy†,0,442093,149654,333738,183814,0,172018,0,0,321468,356001,0,0,0,1032989,0,93844,0,168889,0,154742,0,271788,153546,92724,89856,0,445547,0,58702,114108,295875,0,0,280133,175806,0,0,795783,0,568055,0,372319,434709,0,294606,0,102929,105285,0,0,8061020
total_renewables,10410,232035,90825,101215,880995,114917,49084,2622,7402,304605,293237,20471,421784,78406,248541,170986,151788,77517,138209,80700,51255,93867,206811,229769,95312,66614,60644,198165,96024,168382,39863,73187,77286,72734,269884,155282,189654,237768,182051,13264,145328,129978,116472,751680,37369,185638,22009,418470,150890,28391,42079,8107353
