State,Energy_Source,Renewable_Use_2022
RI,Hydropower,25
RI,Solar Energy,3073
RI,Wind Energy,≈714
SC,Biomass,127166
SC,Geothermal,648
SC,Hydropower,$7440
SC,Solar Energy,$10073
SC,Wind Energy,0
SD,Biomass,78433
SD,Geothermal,1868
SD,Hydropower,$14530
SD,Solar Energy,≈20
SD,Wind Energy,35127 USD
TN,Biomass,≈82232
TN,Geothermal,213
TN,Hydropower,$31384
TN,Solar Energy,2593
TN,Wind Energy,$51
TX,Biomass,$268045
TX,Geothermal,2478
TX,Hydropower,≈2116
TX,Solar Energy,87388
TX,Wind Energy,$391653
UT,Biomass,$14627
UT,Geothermal,2389
UT,Hydropower,$2031
UT,Solar Energy,≈15854
UT,Wind Energy,2468
VA,Biomass,162230
VA,Geothermal,$1701
VA,Hydropower,3880
VA,Solar Energy,$17653
VA,Wind Energy,174 per MMBtu
VT,Biomass,15188
VT,Geothermal,$29
VT,Hydropower,$3892
VT,Solar Energy,1504
VT,Wind Energy,≈1396
WA,Biomass,118813
WA,Geothermal,$1136
WA,Hydropower,$269263
WA,Solar Energy,$1754
WA,Wind Energy,27504
WI,Biomass,≈133538
WI,Geothermal,$615
WI,Hydropower,6793
WI,Solar Energy,$3749
WI,Wind Energy,$6195
WV,Biomass,$15724
WV,Geothermal,32
WV,Hydropower,$5620
WV,Solar Energy,166
WV,Wind Energy,6848
WY,Biomass,4790
WY,Geothermal,663
WY,Hydropower,$2541
WY,Solar Energy,715
WY,Wind Energy,≈33370
US,Biomass,4873241
US,Geothermal,$118389
US,Hydropower,869339
US,Solar Energy,$764563
US,Wind Energy,$1481823
