State,Energy_Source,Renewable_Use_2022
AK,Biomass,≈3846
AK,Geothermal,$186
AK,Hydropower,$5846
AK,Solar Energy,~57
AK,Wind Energy,$475
AL,Biomass,193932 USD
AL,Geothermal,141
AL,Hydropower,34762
AL,Solar Energy,$3200
AL,Wind Energy,0
AR,Biomass,$74816
AR,Geothermal,808
AR,Hydropower,11835
AR,Solar Energy,3365
AR,Wind Energy,$0
AZ,Biomass,36364
AZ,Geothermal,$345
AZ,Hydropower,18075
AZ,Solar Energy,41092 per MMBtu
AZ,Wind Energy,5338
CA,Biomass,$497652
CA,Geothermal,40288 USD
CA,Hydropower,≈60202
CA,Solar Energy,232908
CA,Wind Energy,$49945
CO,Biomass,38711
CO,Geothermal,759
CO,Hydropower,4588
CO,Solar Energy,$13159
CO,Wind Energy,≈57701
CT,Biomass,≈41972
CT,Geothermal,21
CT,Hydropower,$1065
CT,Solar Energy,$5982
CT,Wind Energy,$44
DC,Biomass,1923
DC,Geothermal,$22
DC,Hydropower,0
DC,Solar Energy,678
DC,Wind Energy,$0
DE,Biomass,6160
DE,Geothermal,$430
DE,Hydropower,0
DE,Solar Energy,$797
DE,Wind Energy,$15
FL,Biomass,≈219011
FL,Geothermal,$10056
FL,Hydropower,$788
FL,Solar Energy,74750
FL,Wind Energy,$0
GA,Biomass,256735
GA,Geothermal,$315
GA,Hydropower,10840
GA,Solar Energy,≈25348
GA,Wind Energy,$0
HI,Biomass,$8806
HI,Geothermal,719
HI,Hydropower,376
HI,Solar Energy,$8437
HI,Wind Energy,$2134
IA,Biomass,258515
IA,Geothermal,1281
IA,Hydropower,$3446
IA,Solar Energy,2404
IA,Wind Energy,$156138
ID,Biomass,37284
ID,Geothermal,1814
ID,Hydropower,$28523
ID,Solar Energy,$2453
ID,Wind Energy,8331 USD
IL,Biomass,≈155145
IL,Geothermal,2042
IL,Hydropower,$393
IL,Solar Energy,$10800
IL,Wind Energy,80161
IN,Biomass,126202
IN,Geothermal,$4647
IN,Hydropower,$1265
IN,Solar Energy,$4803
IN,Wind Energy,34070 est.
KS,Biomass,48860
KS,Geothermal,$974
KS,Hydropower,$81
KS,Solar Energy,579
KS,Wind Energy,101294
KY,Biomass,$58773
KY,Geothermal,2712
KY,Hydropower,15456
KY,Solar Energy,$575
KY,Wind Energy,0
LA,Biomass,≈131549
LA,Geothermal,$1842
LA,Hydropower,$3126
LA,Solar Energy,1692
LA,Wind Energy,$0
MA,Biomass,57545
MA,Geothermal,$859
MA,Hydropower,2993
MA,Solar Energy,18568
MA,Wind Energy,$736
MD,Biomass,35988
MD,Geothermal,$570
MD,Hydropower,6072
MD,Solar Energy,6928
MD,Wind Energy,1698
ME,Biomass,71303
ME,Geothermal,72
ME,Hydropower,$10452
ME,Solar Energy,2771
ME,Wind Energy,$9268
MI,Biomass,161389
MI,Geothermal,$5193
MI,Hydropower,4729
MI,Solar Energy,$4276
MI,Wind Energy,$31224
MN,Biomass,$166428
MN,Geothermal,1075
MN,Hydropower,$3243
MN,Solar Energy,7531
MN,Wind Energy,51491 per MMBtu
MO,Biomass,≈62209
MO,Geothermal,$352
MO,Hydropower,4721
MO,Solar Energy,2355
MO,Wind Energy,$25674
MS,Biomass,63847
MS,Geothermal,$958
MS,Hydropower,$0
MS,Solar Energy,1809
MS,Wind Energy,$0
MT,Biomass,$12554
MT,Geothermal,$337
MT,Hydropower,$33731
MT,Solar Energy,299
MT,Wind Energy,$13723
NC,Biomass,138609
NC,Geothermal,967
NC,Hydropower,$15990
NC,Solar Energy,$40733
NC,Wind Energy,≈1866
ND,Biomass,33480
ND,Geothermal,978
ND,Hydropower,6112
ND,Solar Energy,$10
ND,Wind Energy,$55445
NE,Biomass,120119
NE,Geothermal,$1212
NE,Hydropower,3608
NE,Solar Energy,404
NE,Wind Energy,$43039
NH,Biomass,$33184
NH,Geothermal,29
NH,Hydropower,$4099
NH,Solar Energy,≈906
NH,Wind Energy,1646
NJ,Biomass,54827
NJ,Geothermal,$466
NJ,Hydropower,$18
NJ,Solar Energy,17803
NJ,Wind Energy,$74
NM,Biomass,≈18132
NM,Geothermal,$528
NM,Hydropower,$412
NM,Solar Energy,$8962
NM,Wind Energy,49251
NV,Biomass,$14392
NV,Geothermal,14913
NV,Hydropower,5752
NV,Solar Energy,≈36601
NV,Wind Energy,$1077
NY,Biomass,$140237
NY,Geothermal,1185
NY,Hydropower,$93596
NY,Solar Energy,19281
NY,Wind Energy,$15584
OH,Biomass,≈134824
OH,Geothermal,$3435
OH,Hydropower,$1730
OH,Solar Energy,4531
OH,Wind Energy,$10761
OK,Biomass,54864
OK,Geothermal,$24
OK,Hydropower,$6038
OK,Solar Energy,598
OK,Wind Energy,$128130
OR,Biomass,93054
OR,Geothermal,$1842
OR,Hydropower,≈106810
OR,Solar Energy,8257
OR,Wind Energy,$27805
PA,Biomass,154330
PA,Geothermal,$2162
PA,Hydropower,$9051
PA,Solar Energy,$4319
PA,Wind Energy,$12188
RI,Biomass,$9395
RI,Geothermal,57
