Energy_Source,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,US
coal_usage,18414,224926,180262,137885,28746,204826,0,0,338,129387,177521,0,201276,1144,342683,613533,184614,481815,58224,0,30349,1295,287490,148968,442901,49606,130059,153784,325716,195602,1838,0,75182,29284,4823,413577,63787,652,307604,0,162323,22246,202367,805600,174315,46785,0,49523,219995,472309,366098,8169673
NaturalGas,448087,775747,399566,537151,2154533,525446,304924,26236,84387,1673836,787361,152,446677,154150,1101064,921814,309427,369986,2055504,386946,304669,61045,1104234,536789,316512,630107,96777,662302,220768,206276,59589,721282,337083,301655,1346622,1448857,860217,327164,1937041,112499,346881,99752,396870,5284670,298976,655997,13001,403038,565025,309019,181395,33609104
petroleum (BTU),270391,565754,327465,599712,2996168,514174,292864,17292,110721,1835394,980546,251676,404172,189553,1134461,695709,345807,584722,1620038,525647,429784,177091,810789,567072,612625,378072,173283,900241,169307,233599,147387,787262,251686,296155,1341811,1009729,515440,313013,1132958,76844,507146,114623,702827,6752349,324640,807547,70235,718277,525386,206969,143944,35460356
nuclear-energy †,0,476392,156492,329474,185192,0,142873,0,0,312935,390663,0,0,0,1019691,0,107675,0,127634,0,156610,0,292615,124626,95947,122807,0,442493,0,72391,99658,296162,0,0,287690,169392,0,0,787083,0,581365,0,396522,425186,0,310037,0,88163,101204,0,0,8098974
total renewable-energy,10087,222189,87277,108445,1065179,115061,48981,2795,8041,286306,291462,21046,414801,77128,245703,172891,140268,72603,138982,81559,53711,89444,198459,223864,90412,67305,58470,186804,92154,164502,38988,74408,80278,74878,272967,153083,185378,236062,178035,13579,142486,126540,115678,791211,39674,183979,22209,365956,150965,28370,38474,8187317
